,x
1027,Ikakogi tayrona
1028,Incilius coniferus
1029,Insuetophrynus acarpicus
1030,Ischnocnema bolbodactyla
1031,Ischnocnema epipeda
1032,Ischnocnema erythromera
1033,Ischnocnema gehrti
1034,Ischnocnema gualteri
1035,Ischnocnema guentheri
1036,Ischnocnema henselii
1037,Ischnocnema hoehnei
1038,Ischnocnema holti
1039,Ischnocnema izecksohni
1040,Ischnocnema juipoca
1041,Ischnocnema lactea
1042,Ischnocnema manezinho
1043,Ischnocnema nasuta
1044,Ischnocnema nigriventris
1045,Ischnocnema octavioi
1046,Ischnocnema oea
1047,Ischnocnema paranaensis
1048,Ischnocnema parva
1049,Ischnocnema penaxavantinho
1050,Ischnocnema pusilla
1051,Ischnocnema randorum
1052,Ischnocnema sambaqui
1053,Ischnocnema spanios
1054,Ischnocnema venancioi
1055,Ischnocnema verrucosa
1056,Itapotihyla langsdorffii
1057,Lepidobatrachus asper
1058,Lepidobatrachus laevis
1059,Lepidobatrachus llanensis
1060,Leptodactylus bolivianus
1061,Leptodactylus bufonius
1062,Leptodactylus caatingae
1063,Leptodactylus camaquara
1064,Leptodactylus chaquensis
1065,Leptodactylus colombiensis
1066,Leptodactylus cunicularius
1067,Leptodactylus cupreus
1068,Leptodactylus didymus
1069,Leptodactylus diedrus
1070,Leptodactylus discodactylus
1071,Leptodactylus elenae
1072,Leptodactylus flavopictus
1073,Leptodactylus fragilis
1074,Leptodactylus furnarius
1075,Leptodactylus fuscus
1076,Leptodactylus gracilis
1077,Leptodactylus griseigularis
1078,Leptodactylus hylodes
1079,Leptodactylus insularum
1080,Leptodactylus jolyi
1081,Leptodactylus knudseni
1082,Leptodactylus labrosus
1083,Leptodactylus labyrinthicus
1084,Leptodactylus laticeps
1085,Leptodactylus latinasus
1086,Leptodactylus latrans
1087,Leptodactylus lauramiriamae
1088,Leptodactylus leptodactyloides
1089,Leptodactylus lithonaetes
1090,Leptodactylus longirostris
1091,Leptodactylus magistris
1092,Leptodactylus marambaiae
1093,Leptodactylus melanonotus
1094,Leptodactylus myersi
1095,Leptodactylus mystaceus
1096,Leptodactylus mystacinus
1097,Leptodactylus natalensis
1098,Leptodactylus nesiotus
1099,Leptodactylus notoaktites
1100,Leptodactylus pallidirostris
1101,Leptodactylus paraensis
1102,Leptodactylus pascoensis
1103,Leptodactylus pentadactylus
1104,Leptodactylus peritoaktites
1105,Leptodactylus petersii
1106,Leptodactylus plaumanni
1107,Leptodactylus podicipinus
1108,Leptodactylus poecilochilus
1109,Leptodactylus pustulatus
1110,Leptodactylus rhodomerus
1111,Leptodactylus rhodomystax
1112,Leptodactylus rhodonotus
1113,Leptodactylus riveroi
1114,Leptodactylus rugosus
1115,Leptodactylus sabanensis
1116,Leptodactylus savagei
1117,Leptodactylus sertanejo
1118,Leptodactylus spixi
1119,Leptodactylus stenodema
1120,Leptodactylus syphax
1121,Leptodactylus tapiti
1122,Leptodactylus troglodytes
1123,Leptodactylus turimiquensis
1124,Leptodactylus vastus
1125,Leptodactylus ventrimaculatus
1126,Leptodactylus viridis
1127,Leptodactylus wagneri
1128,Leucostethus argyrogaster
1129,Leucostethus brachistriatus
1130,Leucostethus fraterdanieli
1131,Leucostethus fugax
1132,Leucostethus ramirezi
1133,Limnomedusa macroglossa
1134,Lithobates bwana
1135,Lithobates catesbeianus
1136,Lithobates palmipes
1137,Lithobates vaillanti
1138,Lithodytes lineatus
1139,Lynchius flavomaculatus
1140,Lynchius nebulanastes
1141,Lynchius oblitus
1142,Lynchius parkeri
1143,Lynchius simmonsi
1144,Lynchius tabaconas
1145,Lysapsus bolivianus
1146,Lysapsus caraya
1147,Lysapsus laevis
1148,Lysapsus limellum
1149,Macrogenioglottus alipioi
1150,Mannophryne caquetio
1151,Mannophryne collaris
1152,Mannophryne cordilleriana
1153,Mannophryne herminae
1154,Mannophryne lamarcai
1155,Mannophryne larandina
1156,Mannophryne leonardoi
1157,Mannophryne molinai
1158,Mannophryne neblina
1159,Mannophryne oblitterata
1160,Mannophryne orellana
1161,Mannophryne riveroi
1162,Mannophryne speeri
1163,Mannophryne trujillensis
1164,Mannophryne urticans
1165,Mannophryne venezuelensis
1166,Mannophryne vulcano
1167,Mannophryne yustizi
1168,Megaelosia apuana
1169,Megaelosia bocainensis
1170,Megaelosia boticariana
1171,Megaelosia goeldii
1172,Megaelosia jordanensis
1173,Megaelosia lutzae
1174,Megaelosia massarti
1175,Melanophryniscus admirabilis
1176,Melanophryniscus alipioi
1177,Melanophryniscus atroluteus
1178,Melanophryniscus cambaraensis
1179,Melanophryniscus cupreuscapularis
1180,Melanophryniscus devincenzii
1181,Melanophryniscus dorsalis
1182,Melanophryniscus estebani
1183,Melanophryniscus fulvoguttatus
1184,Melanophryniscus klappenbachi
1185,Melanophryniscus krauczuki
1186,Melanophryniscus langonei
1187,Melanophryniscus macrogranulosus
1188,Melanophryniscus montevidensis
1189,Melanophryniscus moreirae
1190,Melanophryniscus orejasmirandai
1191,Melanophryniscus pachyrhynus
1192,Melanophryniscus peritus
1193,Melanophryniscus rubriventris
1194,Melanophryniscus sanmartini
1195,Melanophryniscus simplex
1196,Melanophryniscus spectabilis
1197,Melanophryniscus stelzneri
1198,Melanophryniscus tumifrons
1199,Metaphryniscus sosai
1200,Microkayla adenopleura
1201,Microkayla ankohuma
1202,Microkayla boettgeri
1203,Microkayla chacaltaya
1204,Microkayla chaupi
1205,Microkayla colla
1206,Microkayla condoriri
1207,Microkayla guillei
1208,Microkayla harveyi
1209,Microkayla huayna
1210,Microkayla iani
1211,Microkayla iatamasi
1212,Microkayla illampu
1213,Microkayla illimani
1214,Microkayla kallawaya
1215,Microkayla katantika
1216,Microkayla kempffi
1217,Microkayla melanocheira
1218,Microkayla pinguis
1219,Microkayla quimsacruzis
1220,Microkayla saltator
1221,Microkayla teqta
1222,Microkayla wettsteini
1223,Minyobates steyermarki
1224,Myersiella microps
1225,Myersiohyla aromatica
1226,Myersiohyla inparquesi
1227,Myersiohyla liliae
1228,Myersiohyla loveridgei
1229,Myersiohyla neblinaria
1230,Nannophryne apolobambica
1231,Nannophryne cophotis
1232,Nannophryne corynetes
1233,Nannophryne variegata
1234,Nesorohyla kanaima
1235,Niceforonia adenobrachia
1236,Niceforonia aderca
1237,Niceforonia araiodactyla
1238,Niceforonia babax
1239,Niceforonia brunnea
1240,Niceforonia dolops
1241,Niceforonia elassodiscus
1242,Niceforonia fallaciosa
1243,Niceforonia latens
1244,Niceforonia lucida
1245,Niceforonia mantipus
1246,Niceforonia nana
1247,Niceforonia nigrovittata
1248,Niceforonia peraccai
1249,Noblella carrascoicola
1250,Noblella coloma
1251,Noblella duellmani
1252,Noblella heyeri
1253,Noblella lochites
1254,Noblella lynchi
1255,Noblella madreselva
1256,Noblella myrmecoides
1257,Noblella personina
1258,Noblella peruviana
1259,Noblella pygmaea
1260,Noblella ritarasquinae
1261,Nyctimantis rugiceps
1262,Nymphargus anomalus
1263,Nymphargus armatus
1264,Nymphargus balionotus
1265,Nymphargus bejaranoi
1266,Nymphargus buenaventura
1267,Nymphargus cariticommatus
1268,Nymphargus caucanus
1269,Nymphargus chami
1270,Nymphargus chancas
1271,Nymphargus cochranae
1272,Nymphargus cristinae
1273,Nymphargus garciae
1274,Nymphargus grandisonae
1275,Nymphargus griffithsi
1276,Nymphargus ignotus
1277,Nymphargus laurae
1278,Nymphargus luminosus
1279,Nymphargus luteopunctatus
1280,Nymphargus manduriacu
1281,Nymphargus mariae
1282,Nymphargus megacheirus
1283,Nymphargus mixomaculatus
1284,Nymphargus nephelophila
1285,Nymphargus ocellatus
1286,Nymphargus oreonympha
1287,Nymphargus phenax
1288,Nymphargus pluvialis
1289,Nymphargus posadae
1290,Nymphargus prasinus
1291,Nymphargus rosada
1292,Nymphargus ruizi
1293,Nymphargus siren
1294,Nymphargus spilotus
1295,Nymphargus truebae
1296,Nymphargus vicenteruedai
1297,Nymphargus wileyi
1298,Odontophrynus achalensis
1299,Odontophrynus americanus
1300,Odontophrynus barrioi
1301,Odontophrynus carvalhoi
1302,Odontophrynus cordobae
1303,Odontophrynus cultripes
1304,Odontophrynus lavillai
1305,Odontophrynus occidentalis
1306,Ololygon agilis
1307,Ololygon albicans
1308,Ololygon alcatraz
1309,Ololygon angrensis
1310,Ololygon arduous
1311,Ololygon argyreornata
1312,Ololygon ariadne
1313,Ololygon aromothyella
1314,Ololygon atrata
1315,Ololygon belloni
1316,Ololygon berthae
1317,Ololygon brieni
1318,Ololygon canastrensis
1319,Ololygon carnevallii
1320,Ololygon catharinae
1321,Ololygon centralis
1322,Ololygon faivovichi
1323,Ololygon flavoguttata
1324,Ololygon heyeri
1325,Ololygon hiemalis
1326,Ololygon humilis
1327,Ololygon insperata
1328,Ololygon jureia
1329,Ololygon kautskyi
1330,Ololygon littoralis
1331,Ololygon littoreus
1332,Ololygon longilinea
1333,Ololygon luizotavioi
1334,Ololygon machadoi
1335,Ololygon melloi
1336,Ololygon muriciensis
1337,Ololygon obtriangulata
1338,Ololygon peixotoi
1339,Ololygon perpusilla
1340,Ololygon ranki
1341,Ololygon rizibilis
1342,Ololygon skuki
1343,Ololygon trapicheiroi
1344,Ololygon v-signata
1345,Oophaga anchicayensis
1346,Oophaga andresi
1347,Oophaga occultator
1348,Oophaga solanensis
1349,Oophaga sylvatica
1350,Oreobates amarakaeri
1351,Oreobates ayacucho
1352,Oreobates barituensis
1353,Oreobates berdemenos
1354,Oreobates choristolemma
1355,Oreobates crepitans
1356,Oreobates cruralis
1357,Oreobates discoidalis
1358,Oreobates gemcare
1359,Oreobates granulosus
1360,Oreobates heterodactylus
1361,Oreobates ibischi
1362,Oreobates lehri
1363,Oreobates lundbergi
1364,Oreobates machiguenga
1365,Oreobates madidi
1366,Oreobates pereger
1367,Oreobates quixensis
1368,Oreobates sanctaecrucis
1369,Oreobates sanderi
1370,Oreobates saxatilis
1371,Oreobates yanucu
1372,Oreobates zongoensis
1373,Oreophrynella cryptica
1374,Oreophrynella dendronastes
1375,Oreophrynella huberi
1376,Oreophrynella macconnelli
1377,Oreophrynella nigra
1378,Oreophrynella quelchii
1379,Oreophrynella seegobini
1380,Oreophrynella vasquezi
1381,Oreophrynella weiassipuensis
1382,Osornophryne antisana
1383,Osornophryne bufoniformis
1384,Osornophryne cofanorum
1385,Osornophryne guacamayo
1386,Osornophryne percrassa
1387,Osornophryne puruanta
1388,Osornophryne sumacoensis
1389,Osornophryne talipes
1390,Osteocephalus alboguttatus
1391,Osteocephalus buckleyi
1392,Osteocephalus cabrerai
1393,Osteocephalus castaneicola
1394,Osteocephalus deridens
1395,Osteocephalus elkejungingerae
1396,Osteocephalus fuscifacies
1397,Osteocephalus heyeri
1398,Osteocephalus leoniae
1399,Osteocephalus leprieurii
1400,Osteocephalus mutabor
1401,Osteocephalus oophagus
1402,Osteocephalus planiceps
1403,Osteocephalus subtilis
1404,Osteocephalus taurinus
1405,Osteocephalus verruciger
1406,Osteocephalus yasuni
1407,Otophryne pyburni
1408,Otophryne robusta
1409,Otophryne steyermarki
1410,Paratelmatobius cardosoi
1411,Paratelmatobius gaigeae
1412,Paratelmatobius lutzii
1413,Paratelmatobius mantiqueira
1414,Paratelmatobius poecilogaster
1415,Paruwrobates andinus
1416,Paruwrobates erythromos
1417,Paruwrobates whymperi
1418,Phasmahyla cochranae
1419,Phasmahyla exilis
1420,Phasmahyla guttata
1421,Phasmahyla jandaia
1422,Phasmahyla spectabilis
1423,Phasmahyla timbo
1424,Phrynomedusa appendiculata
1425,Phrynomedusa bokermanni
1426,Phrynomedusa fimbriata
1427,Phrynomedusa marginata
1428,Phrynomedusa vanzolinii
1429,Phrynopus anancites
1430,Phrynopus auriculatus
1431,Phrynopus badius
1432,Phrynopus barthlenae
1433,Phrynopus bracki
1434,Phrynopus bufoides
1435,Phrynopus capitalis
1436,Phrynopus chaparroi
1437,Phrynopus curator
1438,Phrynopus daemon
1439,Phrynopus dagmarae
1440,Phrynopus dumicola
1441,Phrynopus heimorum
1442,Phrynopus horstpauli
1443,Phrynopus interstinctus
1444,Phrynopus inti
1445,Phrynopus juninensis
1446,Phrynopus kauneorum
1447,Phrynopus kotosh
1448,Phrynopus lapidoides
1449,Phrynopus lechriorhynchus
1450,Phrynopus miroslawae
1451,Phrynopus montium
1452,Phrynopus nicoleae
1453,Phrynopus oblivius
1454,Phrynopus paucari
1455,Phrynopus personatus
1456,Phrynopus peruanus
1457,Phrynopus pesantesi
1458,Phrynopus tautzorum
1459,Phrynopus thompsoni
1460,Phrynopus tribulosus
1461,Phrynopus unchog
1462,Phrynopus valquii
1463,Phrynopus vestigiatus
1464,Phyllobates aurotaenia
1465,Phyllobates bicolor
1466,Phyllobates terribilis
1467,Phyllodytes acuminatus
1468,Phyllodytes brevirostris
1469,Phyllodytes edelmoi
1470,Phyllodytes gyrinaethes
1471,Phyllodytes kautskyi
1472,Phyllodytes luteolus
1473,Phyllodytes maculosus
1474,Phyllodytes melanomystax
1475,Phyllodytes punctatus
1476,Phyllodytes tuberculosus
1477,Phyllodytes wuchereri
1478,Phyllomedusa araguari
1479,Phyllomedusa bahiana
1480,Phyllomedusa bicolor
1481,Phyllomedusa boliviana
1482,Phyllomedusa burmeisteri
1483,Phyllomedusa camba
1484,Phyllomedusa coelestis
1485,Phyllomedusa distincta
1486,Phyllomedusa iheringii
1487,Phyllomedusa itacolomi
1488,Phyllomedusa neildi
1489,Phyllomedusa sauvagii
1490,Phyllomedusa tarsius
1491,Phyllomedusa tetraploidea
1492,Phyllomedusa trinitatis
1493,Phyllomedusa vaillantii
1494,Phyllomedusa venusta
1495,Physalaemus aguirrei
1496,Physalaemus albifrons
1497,Physalaemus albonotatus
1498,Physalaemus angrensis
1499,Physalaemus atlanticus
1500,Physalaemus barrioi
1501,Physalaemus biligonigerus
1502,Physalaemus bokermanni
1503,Physalaemus caete
1504,Physalaemus camacan
1505,Physalaemus centralis
1506,Physalaemus cicada
1507,Physalaemus crombiei
1508,Physalaemus cuqui
1509,Physalaemus cuvieri
1510,Physalaemus deimaticus
1511,Physalaemus ephippifer
1512,Physalaemus erikae
1513,Physalaemus erythros
1514,Physalaemus evangelistai
1515,Physalaemus fernandezae
1516,Physalaemus fischeri
1517,Physalaemus gracilis
1518,Physalaemus henselii
1519,Physalaemus insperatus
1520,Physalaemus irroratus
1521,Physalaemus jordanensis
1522,Physalaemus kroyeri
1523,Physalaemus lisei
1524,Physalaemus maculiventris
1525,Physalaemus marmoratus
1526,Physalaemus maximus
1527,Physalaemus moreirae
1528,Physalaemus nanus
1529,Physalaemus nattereri
1530,Physalaemus obtectus
1531,Physalaemus olfersii
1532,Physalaemus riograndensis
1533,Physalaemus rupestris
1534,Physalaemus santafecinus
1535,Physalaemus signifer
1536,Physalaemus soaresi
1537,Physalaemus spiniger
1538,Phytotriades auratus
1539,Phyzelaphryne miriamae
1540,Pipa arrabali
1541,Pipa aspera
1542,Pipa carvalhoi
1543,Pipa myersi
1544,Pipa parva
1545,Pipa pipa
1546,Pipa snethlageae
1547,Pithecopus ayeaye
1548,Pithecopus azureus
1549,Pithecopus centralis
1550,Pithecopus hypochondrialis
1551,Pithecopus megacephalus
1552,Pithecopus nordestinus
1553,Pithecopus oreades
1554,Pithecopus palliatus
1555,Pithecopus rohdei
1556,Pleurodema bibroni
1557,Pleurodema borellii
1558,Pleurodema brachyops
1559,Pleurodema bufoninum
1560,Pleurodema cinereum
1561,Pleurodema cordobae
1562,Pleurodema diplolister
1563,Pleurodema fuscomaculatum
1564,Pleurodema guayapae
1565,Pleurodema kriegi
1566,Pleurodema marmoratum
1567,Pleurodema nebulosum
1568,Pleurodema somuncurense
1569,Pleurodema thaul
1570,Pleurodema tucumanum
1571,Pristimantis aaptus
1572,Pristimantis abakapa
1573,Pristimantis acatallelus
1574,Pristimantis acerus
1575,Pristimantis achatinus
1576,Pristimantis achuar
1577,Pristimantis actinolaimus
1578,Pristimantis actites
1579,Pristimantis acuminatus
1580,Pristimantis acutirostris
1581,Pristimantis adiastolus
1582,Pristimantis aemulatus
1583,Pristimantis affinis
1584,Pristimantis alalocophus
1585,Pristimantis albericoi
1586,Pristimantis albertus
1587,Pristimantis altamazonicus
1588,Pristimantis altamnis
1589,Pristimantis ameliae
1590,Pristimantis amydrotus
1591,Pristimantis anemerus
1592,Pristimantis angustilineatus
1593,Pristimantis aniptopalmatus
1594,Pristimantis anolirex
1595,Pristimantis anotis
1596,Pristimantis apiculatus
1597,Pristimantis appendiculatus
1598,Pristimantis aquilonaris
1599,Pristimantis ardalonychus
1600,Pristimantis ashaninka
1601,Pristimantis atrabracus
1602,Pristimantis atratus
1603,Pristimantis attenboroughi
1604,Pristimantis aurantiguttatus
1605,Pristimantis aureolineatus
1606,Pristimantis aureoventris
1607,Pristimantis auricarens
1608,Pristimantis avicuporum
1609,Pristimantis avius
1610,Pristimantis bacchus
1611,Pristimantis baiotis
1612,Pristimantis balionotus
1613,Pristimantis bambu
1614,Pristimantis baryecuus
1615,Pristimantis batrachites
1616,Pristimantis bearsei
1617,Pristimantis bellator
1618,Pristimantis bellona
1619,Pristimantis bernali
1620,Pristimantis bicolor
1621,Pristimantis bicumulus
1622,Pristimantis bipunctatus
1623,Pristimantis boconoensis
1624,Pristimantis bogotensis
1625,Pristimantis boucephalus
1626,Pristimantis boulengeri
1627,Pristimantis bounides
1628,Pristimantis brevifrons
1629,Pristimantis briceni
1630,Pristimantis bromeliaceus
1631,Pristimantis buccinator
1632,Pristimantis buckleyi
1633,Pristimantis bustamante
1634,Pristimantis cabrerai
1635,Pristimantis cacao
1636,Pristimantis caeruleonotus
1637,Pristimantis cajamarcensis
1638,Pristimantis calcaratus
1639,Pristimantis calcarulatus
1640,Pristimantis cantitans
1641,Pristimantis capitonis
1642,Pristimantis caprifer
1643,Pristimantis carlossanchezi
1644,Pristimantis carmelitae
1645,Pristimantis carranguerorum
1646,Pristimantis carvalhoi
1647,Pristimantis cedros
1648,Pristimantis celator
1649,Pristimantis ceuthospilus
1650,Pristimantis chalceus
1651,Pristimantis chiastonotus
1652,Pristimantis chimu
1653,Pristimantis chloronotus
1654,Pristimantis chrysops
1655,Pristimantis citriogaster
1656,Pristimantis colodactylus
1657,Pristimantis colomai
1658,Pristimantis colonensis
1659,Pristimantis colostichos
1660,Pristimantis condor
1661,Pristimantis conservatio
1662,Pristimantis conspicillatus
1663,Pristimantis cordovae
1664,Pristimantis corniger
1665,Pristimantis coronatus
1666,Pristimantis corrugatus
1667,Pristimantis cosnipatae
1668,Pristimantis cremnobates
1669,Pristimantis crenunguis
1670,Pristimantis cristinae
1671,Pristimantis croceoinguinis
1672,Pristimantis crucifer
1673,Pristimantis cruciocularis
1674,Pristimantis cruentus
1675,Pristimantis cryophilius
1676,Pristimantis cryptomelas
1677,Pristimantis cuentasi
1678,Pristimantis culatensis
1679,Pristimantis cuneirostris
1680,Pristimantis curtipes
1681,Pristimantis danae
1682,Pristimantis degener
1683,Pristimantis deinops
1684,Pristimantis delicatus
1685,Pristimantis delius
1686,Pristimantis dendrobatoides
1687,Pristimantis devillei
1688,Pristimantis deyi
1689,Pristimantis diadematus
1690,Pristimantis diaphonus
1691,Pristimantis diogenes
1692,Pristimantis dissimulatus
1693,Pristimantis divnae
1694,Pristimantis dorado
1695,Pristimantis dorsopictus
1696,Pristimantis duellmani
1697,Pristimantis duende
1698,Pristimantis dundeei
1699,Pristimantis elegans
1700,Pristimantis enigmaticus
1701,Pristimantis epacrus
1702,Pristimantis eremitus
1703,Pristimantis eriphus
1704,Pristimantis ernesti
1705,Pristimantis erythropleura
1706,Pristimantis esmeraldas
1707,Pristimantis eugeniae
1708,Pristimantis eurydactylus
1709,Pristimantis exoristus
1710,Pristimantis factiosus
1711,Pristimantis fallax
1712,Pristimantis farisorum
1713,Pristimantis fasciatus
1714,Pristimantis fenestratus
1715,Pristimantis festae
1716,Pristimantis fetosus
1717,Pristimantis flabellidiscus
1718,Pristimantis floridus
1719,Pristimantis frater
1720,Pristimantis gaigei
1721,Pristimantis galdi
1722,Pristimantis ganonotus
1723,Pristimantis geminus
1724,Pristimantis gentryi
1725,Pristimantis ginesi
1726,Pristimantis gladiator
1727,Pristimantis glandulosus
1728,Pristimantis gracilis
1729,Pristimantis grandiceps
1730,Pristimantis grandoculis
1731,Pristimantis gryllus
1732,Pristimantis guaiquinimensis
1733,Pristimantis gutturalis
1734,Pristimantis hamiotae
1735,Pristimantis hectus
1736,Pristimantis helvolus
1737,Pristimantis hernandezi
1738,Pristimantis hoogmoedi
1739,Pristimantis huicundo
1740,Pristimantis humboldti
1741,Pristimantis hybotragus
1742,Pristimantis ignicolor
1743,Pristimantis iiap
1744,Pristimantis illotus
1745,Pristimantis imitatrix
1746,Pristimantis imthurni
1747,Pristimantis incanus
1748,Pristimantis incertus
1749,Pristimantis incomptus
1750,Pristimantis infraguttatus
1751,Pristimantis inguinalis
1752,Pristimantis insignitus
1753,Pristimantis inusitatus
1754,Pristimantis ixalus
1755,Pristimantis jabonensis
1756,Pristimantis jaguensis
1757,Pristimantis jaimei
1758,Pristimantis jamescameroni
1759,Pristimantis jester
1760,Pristimantis johannesdei
1761,Pristimantis jorgevelosai
1762,Pristimantis juanchoi
1763,Pristimantis jubatus
1764,Pristimantis karcharias
1765,Pristimantis kareliae
1766,Pristimantis katoptroides
1767,Pristimantis kelephus
1768,Pristimantis kichwarum
1769,Pristimantis kirklandi
1770,Pristimantis labiosus
1771,Pristimantis lacrimosus
1772,Pristimantis lancinii
1773,Pristimantis lanthanites
1774,Pristimantis lasalleorum
1775,Pristimantis laticlavius
1776,Pristimantis latidiscus
1777,Pristimantis lemur
1778,Pristimantis leoni
1779,Pristimantis leopardus
1780,Pristimantis leptolophus
1781,Pristimantis leucopus
1782,Pristimantis leucorrhinus
1783,Pristimantis librarius
1784,Pristimantis lichenoides
1785,Pristimantis limoncochensis
1786,Pristimantis lindae
1787,Pristimantis lirellus
1788,Pristimantis lividus
1789,Pristimantis llojsintuta
1790,Pristimantis longicorpus
1791,Pristimantis loustes
1792,Pristimantis lucasi
1793,Pristimantis luscombei
1794,Pristimantis luteolateralis
1795,Pristimantis lutitus
1796,Pristimantis lymani
1797,Pristimantis lynchi
1798,Pristimantis lythrodes
1799,Pristimantis maculosus
1800,Pristimantis malkini
1801,Pristimantis marahuaka
1802,Pristimantis mariaelenae
1803,Pristimantis marmoratus
1804,Pristimantis mars
1805,Pristimantis martiae
1806,Pristimantis medemi
1807,Pristimantis megalops
1808,Pristimantis melanogaster
1809,Pristimantis melanoproctus
1810,Pristimantis memorans
1811,Pristimantis mendax
1812,Pristimantis meridionalis
1813,Pristimantis merostictus
1814,Pristimantis metabates
1815,Pristimantis minutulus
1816,Pristimantis miyatai
1817,Pristimantis mnionaetes
1818,Pristimantis modipeplus
1819,Pristimantis molybrignus
1820,Pristimantis mondolfii
1821,Pristimantis moro
1822,Pristimantis muchimuk
1823,Pristimantis muricatus
1824,Pristimantis muscosus
1825,Pristimantis mutabilis
1826,Pristimantis myersi
1827,Pristimantis myops
1828,Pristimantis nebulosus
1829,Pristimantis nephophilus
1830,Pristimantis nervicus
1831,Pristimantis nicefori
1832,Pristimantis nigrogriseus
1833,Pristimantis nubisilva
1834,Pristimantis nyctophylax
1835,Pristimantis obmutescens
1836,Pristimantis ocellatus
1837,Pristimantis ockendeni
1838,Pristimantis ocreatus
1839,Pristimantis olivaceus
1840,Pristimantis omeviridis
1841,Pristimantis orcesi
1842,Pristimantis orcus
1843,Pristimantis orestes
1844,Pristimantis ornatissimus
1845,Pristimantis ornatus
1846,Pristimantis orpacobates
1847,Pristimantis orphnolaimus
1848,Pristimantis ortizi
1849,Pristimantis padiali
1850,Pristimantis padrecarlosi
1851,Pristimantis pahuma
1852,Pristimantis paisa
1853,Pristimantis palmeri
1854,Pristimantis paramerus
1855,Pristimantis pardalinus
1856,Pristimantis parectatus
1857,Pristimantis pariagnomus
1858,Pristimantis parvillus
1859,Pristimantis pastazensis
1860,Pristimantis pataikos
1861,Pristimantis paulodutrai
1862,Pristimantis paululus
1863,Pristimantis pecki
1864,Pristimantis pedimontanus
1865,Pristimantis penelopus
1866,Pristimantis peraticus
1867,Pristimantis percnopterus
1868,Pristimantis percultus
1869,Pristimantis permixtus
1870,Pristimantis peruvianus
1871,Pristimantis petersi
1872,Pristimantis petrobardus
1873,Pristimantis phalaroinguinis
1874,Pristimantis phalarus
1875,Pristimantis pharangobates
1876,Pristimantis philipi
1877,Pristimantis phoxocephalus
1878,Pristimantis phragmipleuron
1879,Pristimantis piceus
1880,Pristimantis pinguis
1881,Pristimantis platychilus
1882,Pristimantis platydactylus
1883,Pristimantis pleurostriatus
1884,Pristimantis pluvialis
1885,Pristimantis polemistes
1886,Pristimantis polychrus
1887,Pristimantis prolatus
1888,Pristimantis proserpens
1889,Pristimantis pruinatus
1890,Pristimantis pseudoacuminatus
1891,Pristimantis pteridophilus
1892,Pristimantis ptochus
1893,Pristimantis pugnax
1894,Pristimantis puipui
1895,Pristimantis pulchridormientes
1896,Pristimantis pulvinatus
1897,Pristimantis pycnodermis
1898,Pristimantis pyrrhomerus
1899,Pristimantis quantus
1900,Pristimantis quaquaversus
1901,Pristimantis quicato
1902,Pristimantis quinquagesimus
1903,Pristimantis racemus
1904,Pristimantis ramagii
1905,Pristimantis reclusas
1906,Pristimantis renjiforum
1907,Pristimantis repens
1908,Pristimantis restrepoi
1909,Pristimantis reticulatus
1910,Pristimantis rhabdocnemus
1911,Pristimantis rhabdolaemus
1912,Pristimantis rhigophilus
1913,Pristimantis rhodoplichus
1914,Pristimantis rhodostichus
1915,Pristimantis ridens
1916,Pristimantis rivasi
1917,Pristimantis riveroi
1918,Pristimantis riveti
1919,Pristimantis rosadoi
1920,Pristimantis roseus
1921,Pristimantis royi
1922,Pristimantis rozei
1923,Pristimantis rubicundus
1924,Pristimantis ruedai
1925,Pristimantis rufioculis
1926,Pristimantis ruidus
1927,Pristimantis ruthveni
1928,Pristimantis sagittulus
1929,Pristimantis salaputium
1930,Pristimantis saltissimus
1931,Pristimantis samaipatae
1932,Pristimantis sanctaemartae
1933,Pristimantis sanguineus
1934,Pristimantis sarisarinama
1935,Pristimantis satagius
1936,Pristimantis schultei
1937,Pristimantis scitulus
1938,Pristimantis scoloblepharus
1939,Pristimantis scolodiscus
1940,Pristimantis scopaeus
1941,Pristimantis seorsus
1942,Pristimantis serendipitus
1943,Pristimantis signifer
1944,Pristimantis silverstonei
1945,Pristimantis simonbolivari
1946,Pristimantis simonsii
1947,Pristimantis simoteriscus
1948,Pristimantis simoterus
1949,Pristimantis siopelus
1950,Pristimantis skydmainos
1951,Pristimantis sobetes
1952,Pristimantis spectabilis
1953,Pristimantis spilogaster
1954,Pristimantis spinosus
1955,Pristimantis stenodiscus
1956,Pristimantis sternothylax
1957,Pristimantis stictoboubonus
1958,Pristimantis stictogaster
1959,Pristimantis stictus
1960,Pristimantis stipa
1961,Pristimantis subsigillatus
1962,Pristimantis suetus
1963,Pristimantis sulculus
1964,Pristimantis supernatis
1965,Pristimantis surdus
1966,Pristimantis susaguae
1967,Pristimantis taciturnus
1968,Pristimantis taeniatus
1969,Pristimantis tamsitti
1970,Pristimantis tantanti
1971,Pristimantis tanyrhynchus
1972,Pristimantis tayrona
1973,Pristimantis telefericus
1974,Pristimantis tenebrionis
1975,Pristimantis terraebolivaris
1976,Pristimantis thectopternus
1977,Pristimantis thyellus
1978,Pristimantis thymalopsoides
1979,Pristimantis thymelensis
1980,Pristimantis toftae
1981,Pristimantis torrenticola
1982,Pristimantis trachyblepharis
1983,Pristimantis tribulosus
1984,Pristimantis truebae
1985,Pristimantis tubernasus
1986,Pristimantis turik
1987,Pristimantis turumiquirensis
